row,document_raw,document_digits,key_used,reason
795,,,0,Documento vazio
796,,,0,Documento vazio
797,,,0,Documento vazio
798,,,0,Documento vazio
799,,,0,Documento vazio
800,,,0,Documento vazio
801,,,0,Documento vazio
802,,,0,Documento vazio
803,,,0,Documento vazio
804,,,0,Documento vazio
805,,,0,Documento vazio
806,,,0,Documento vazio
807,,,0,Documento vazio
808,,,0,Documento vazio
809,,,0,Documento vazio
810,,,0,Documento vazio
811,,,0,Documento vazio
812,,,0,Documento vazio
813,,,0,Documento vazio
814,,,0,Documento vazio
815,,,0,Documento vazio
816,,,0,Documento vazio
817,,,0,Documento vazio
818,,,0,Documento vazio
819,,,0,Documento vazio
820,,,0,Documento vazio
821,,,0,Documento vazio
822,,,0,Documento vazio
823,,,0,Documento vazio
824,,,0,Documento vazio
825,,,0,Documento vazio
826,,,0,Documento vazio
827,,,0,Documento vazio
828,,,0,Documento vazio
829,,,0,Documento vazio
830,,,0,Documento vazio
831,,,0,Documento vazio
832,,,0,Documento vazio
833,,,0,Documento vazio
834,,,0,Documento vazio
835,,,0,Documento vazio
836,,,0,Documento vazio
837,,,0,Documento vazio
838,,,0,Documento vazio
839,,,0,Documento vazio
840,,,0,Documento vazio
841,,,0,Documento vazio
842,,,0,Documento vazio
843,,,0,Documento vazio
844,,,0,Documento vazio
845,,,0,Documento vazio
846,,,0,Documento vazio
847,,,0,Documento vazio
848,,,0,Documento vazio
849,,,0,Documento vazio
850,,,0,Documento vazio
851,,,0,Documento vazio
852,,,0,Documento vazio
853,,,0,Documento vazio
854,,,0,Documento vazio
855,,,0,Documento vazio
856,,,0,Documento vazio
857,,,0,Documento vazio
858,,,0,Documento vazio
859,,,0,Documento vazio
860,,,0,Documento vazio
861,,,0,Documento vazio
862,,,0,Documento vazio
863,,,0,Documento vazio
864,,,0,Documento vazio
865,,,0,Documento vazio
866,,,0,Documento vazio
867,,,0,Documento vazio
868,,,0,Documento vazio
869,,,0,Documento vazio
870,,,0,Documento vazio
871,,,0,Documento vazio
872,,,0,Documento vazio
873,,,0,Documento vazio
874,,,0,Documento vazio
875,,,0,Documento vazio
876,,,0,Documento vazio
877,,,0,Documento vazio
878,,,0,Documento vazio
879,,,0,Documento vazio
880,,,0,Documento vazio
881,,,0,Documento vazio
882,,,0,Documento vazio
883,,,0,Documento vazio
884,,,0,Documento vazio
885,,,0,Documento vazio
886,,,0,Documento vazio
887,,,0,Documento vazio
888,,,0,Documento vazio
889,,,0,Documento vazio
890,,,0,Documento vazio
891,,,0,Documento vazio
892,,,0,Documento vazio
893,,,0,Documento vazio
894,,,0,Documento vazio
895,,,0,Documento vazio
896,,,0,Documento vazio
897,,,0,Documento vazio
898,,,0,Documento vazio
899,,,0,Documento vazio
900,,,0,Documento vazio
901,,,0,Documento vazio
902,,,0,Documento vazio
903,,,0,Documento vazio
904,,,0,Documento vazio
905,,,0,Documento vazio
906,,,0,Documento vazio
907,,,0,Documento vazio
908,,,0,Documento vazio
909,,,0,Documento vazio
910,,,0,Documento vazio
911,,,0,Documento vazio
912,,,0,Documento vazio
913,,,0,Documento vazio
914,,,0,Documento vazio
915,,,0,Documento vazio
916,,,0,Documento vazio
917,,,0,Documento vazio
918,,,0,Documento vazio
919,,,0,Documento vazio
920,,,0,Documento vazio
921,,,0,Documento vazio
922,,,0,Documento vazio
923,,,0,Documento vazio
924,,,0,Documento vazio
925,,,0,Documento vazio
926,,,0,Documento vazio
927,,,0,Documento vazio
928,,,0,Documento vazio
929,,,0,Documento vazio
930,,,0,Documento vazio
931,,,0,Documento vazio
932,,,0,Documento vazio
933,,,0,Documento vazio
934,,,0,Documento vazio
935,,,0,Documento vazio
936,,,0,Documento vazio
937,,,0,Documento vazio
938,,,0,Documento vazio
939,,,0,Documento vazio
940,,,0,Documento vazio
941,,,0,Documento vazio
942,,,0,Documento vazio
943,,,0,Documento vazio
944,,,0,Documento vazio
945,,,0,Documento vazio
946,,,0,Documento vazio
947,,,0,Documento vazio
948,,,0,Documento vazio
949,,,0,Documento vazio
950,,,0,Documento vazio
951,,,0,Documento vazio
952,,,0,Documento vazio
953,,,0,Documento vazio
954,,,0,Documento vazio
955,,,0,Documento vazio
956,,,0,Documento vazio
957,,,0,Documento vazio
958,,,0,Documento vazio
959,,,0,Documento vazio
960,,,0,Documento vazio
961,,,0,Documento vazio
962,,,0,Documento vazio
963,,,0,Documento vazio
964,,,0,Documento vazio
965,,,0,Documento vazio
966,,,0,Documento vazio
967,,,0,Documento vazio
968,,,0,Documento vazio
969,,,0,Documento vazio
970,,,0,Documento vazio
971,,,0,Documento vazio
972,,,0,Documento vazio
973,,,0,Documento vazio
974,,,0,Documento vazio
975,,,0,Documento vazio
976,,,0,Documento vazio
977,,,0,Documento vazio
978,,,0,Documento vazio
979,,,0,Documento vazio
980,,,0,Documento vazio
981,,,0,Documento vazio
982,,,0,Documento vazio
983,,,0,Documento vazio
984,,,0,Documento vazio
985,,,0,Documento vazio
986,,,0,Documento vazio
987,,,0,Documento vazio
988,,,0,Documento vazio
989,,,0,Documento vazio
990,,,0,Documento vazio
991,,,0,Documento vazio
992,,,0,Documento vazio
993,,,0,Documento vazio
994,,,0,Documento vazio
995,,,0,Documento vazio
996,,,0,Documento vazio
997,,,0,Documento vazio
998,,,0,Documento vazio
999,,,0,Documento vazio
1000,,,0,Documento vazio
